,iteration,strategy,num_deliveries,completed_deliveries,total_time,computation_time
0,1,greedy,200,200,3.4985296157784544,40.66414189338684
1,1,tsp,200,200,3.187465682372543,37.953519105911255
2,1,greedy,400,400,4.841044847246293,172.99786686897278
3,1,tsp,400,400,4.518843612887081,182.53371596336365
4,1,greedy,600,600,5.908206581910303,443.29129099845886
5,1,tsp,600,600,5.045933746982624,468.5819172859192
6,1,greedy,800,800,6.111781291682,1166.828651189804
7,1,tsp,800,800,6.140085705762012,2453.5987000465393
8,1,greedy,1000,1000,6.870180392490462,2710.093764781952
9,1,tsp,1000,1000,6.656043847377488,2860.9059331417084
10,2,greedy,200,200,3.415957800698573,43.23734402656555
11,2,tsp,200,200,3.0410476568420415,40.09271597862244
12,2,greedy,400,400,4.652186254747347,201.24569582939148
13,2,tsp,400,400,4.372132627870011,194.94293999671936
14,2,greedy,600,600,5.5620185130773105,464.05070400238037
15,2,tsp,600,600,4.9751646579767055,504.0181441307068
16,2,greedy,800,800,6.431968928168284,901.3273918628693
17,2,tsp,800,800,6.231080400559537,1100.0674901008606
18,2,greedy,1000,1000,6.791636388913112,1370.7114901542664
19,2,tsp,1000,1000,6.838988083001727,1515.4387159347534
20,3,greedy,200,200,3.4041253165277636,37.53660202026367
21,3,tsp,200,200,3.3946236846311018,36.88406705856323
22,3,greedy,400,400,4.606750586131212,169.10675692558289
23,3,tsp,400,400,4.253635625852856,178.7059829235077
24,3,greedy,600,600,5.587094735561341,450.55869698524475
25,3,tsp,600,600,5.599291052054375,463.6740300655365
26,3,greedy,800,800,6.276672543064501,840.0608823299408
27,3,tsp,800,800,5.847872550496354,973.7628901004791
28,3,greedy,1000,1000,6.905647284558255,1200.4379119873047
29,3,tsp,1000,1000,6.764935285582024,1402.0920913219452
30,4,greedy,200,200,3.0312487644879607,52.66389513015747
31,4,tsp,200,200,2.8558630263036004,50.99657201766968
32,4,greedy,400,400,4.689269244392031,193.03569412231445
33,4,tsp,400,400,4.318622728585231,194.4828519821167
34,4,greedy,600,600,5.476249076413731,425.7191958427429
35,4,tsp,600,600,5.665257094892642,469.7175371646881
36,4,greedy,800,800,6.555639786907566,885.1963109970093
37,4,tsp,800,800,6.413022323403008,1030.069687128067
38,4,greedy,1000,1000,6.951327142021247,1183.2128219604492
39,4,tsp,1000,1000,6.352515709168157,1411.2350730895996
40,5,greedy,200,200,3.3757839107101093,41.781938791275024
41,5,tsp,200,200,3.3567719769125097,39.973556995391846
42,5,greedy,400,400,4.4590315635969775,179.65769600868225
43,5,tsp,400,400,4.1211776112863365,183.82761907577515
44,5,greedy,600,600,5.327870559817121,447.4180579185486
45,5,tsp,600,600,5.222310332314782,487.88883113861084
46,5,greedy,800,800,6.3182919587099295,822.9880480766296
47,5,tsp,800,800,5.978610111129451,966.9995877742767
48,5,greedy,1000,1000,7.017930464411808,1156.3436408042908
49,5,tsp,1000,1000,6.9930893319289025,1338.4108998775482
50,6,greedy,200,200,3.175132712367204,40.06788611412048
51,6,tsp,200,200,3.0139399229348602,38.09002184867859
52,6,greedy,400,400,4.689845629039023,191.73763298988342
53,6,tsp,400,400,4.626775605298564,196.85186505317688
54,6,greedy,600,600,5.558947688610967,485.2035188674927
55,6,tsp,600,600,5.2295525055847785,501.65096402168274
56,6,greedy,800,800,6.360750606584046,819.6446840763092
57,6,tsp,800,800,5.975311995276839,968.1779129505157
58,6,greedy,1000,1000,6.936912362418538,1078.7836911678314
59,6,tsp,1000,1000,6.768353278442825,1352.9231040477753
60,7,greedy,200,200,3.111936361935977,38.12334609031677
61,7,tsp,200,200,2.9845022472234746,40.344011068344116
62,7,greedy,400,400,4.589084245250631,175.88289427757263
63,7,tsp,400,400,4.485615819449003,177.56207418441772
64,7,greedy,600,600,5.595927347108036,406.5843563079834
65,7,tsp,600,600,5.411077983364908,447.19728899002075
66,7,greedy,800,800,6.622232281905043,794.04345703125
67,7,tsp,800,800,6.436350009249666,937.6505129337311
68,7,greedy,1000,1000,7.114821540178448,1152.3101360797882
69,7,tsp,1000,1000,6.584252035474888,1370.3998410701752
70,8,greedy,200,200,3.3073054620939213,44.862642765045166
71,8,tsp,200,200,2.982897033143903,44.8230299949646
72,8,greedy,400,400,4.768264361218804,178.12589693069458
73,8,tsp,400,400,4.534652384798603,192.61627388000488
74,8,greedy,600,600,5.406827949407598,443.03445506095886
75,8,tsp,600,600,5.295299723913028,490.08500504493713
76,8,greedy,800,800,6.300763371752854,1818.429852962494
77,8,tsp,800,800,6.2962532451729585,1926.2362020015717
78,8,greedy,1000,1000,7.176981730294133,2100.916377067566
79,8,tsp,1000,1000,6.933875444838426,2331.4957840442657
