,iteration,num_deliveries,truck_a_percentage,truck_b_percentage,truck_a_time,truck_b_time
0,1,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.0484768519139425,0.7698817611547352
1,1,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.143530859386244,1.5516689422838383
2,1,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.3764826519738858,1.7370906816528302
3,1,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.8366160134149623,2.0119243258749764
4,1,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.843751589430614,2.8136457646885575
5,1,"[20, 50, 80, 100, 150, 200]",100.0,100.0,4.158279665584301,2.977249516451501
6,2,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.3350696115141196,1.1083494690538611
7,2,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.997890571496155,1.58816086400344
8,2,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.4516568697387986,1.8542569388320032
9,2,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.271391711367514,2.2077954944161107
10,2,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.7156490183341693,2.689472956654319
11,2,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.8873162219368114,2.937139742069034
12,3,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.1821710992479018,0.7671445116232365
13,3,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.4483872834490517,2.136267353026689
14,3,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.654167287467079,1.9511915574409833
15,3,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.125108072017277,2.2342461031431142
16,3,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.6499327999919684,2.5890044348984964
17,3,"[20, 50, 80, 100, 150, 200]",100.0,100.0,4.227477693021771,3.6319157182195716
18,4,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.406627171734719,0.7255771374426215
19,4,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.0185901102892005,1.5513965221475154
20,4,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.928293684306802,1.944575196729693
21,4,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.880456789211417,2.1251425884223942
22,4,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.8230803758863643,2.8045190779932874
23,4,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.9588549865452065,3.2492054432449455
24,5,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.1225657019547624,0.914074281628679
25,5,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.9718594939709224,1.3694488360939823
26,5,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.7840364341799004,2.0051965434083696
27,5,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.687105052413413,1.8599514727403959
28,5,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.5892478348129715,2.635486328135521
29,5,"[20, 50, 80, 100, 150, 200]",100.0,100.0,4.6084312646977645,3.2015700871863384
30,6,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.4391088652365451,0.9240059705849539
31,6,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.06931214479199,1.521915667768971
32,6,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.926487360454256,2.209264578787338
33,6,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.1223265418580355,2.2545687506641316
34,6,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.434502070060249,2.4879250529835093
35,6,"[20, 50, 80, 100, 150, 200]",100.0,100.0,4.357258520134571,3.0140609818745894
36,7,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.156749104668981,0.8491498853590186
37,7,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.255515885701311,1.6564733506024414
38,7,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.375179894538476,1.7500744912858621
39,7,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.2410674536178874,2.314023201973729
40,7,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.681378009901956,2.650842247997866
41,7,"[20, 50, 80, 100, 150, 200]",100.0,100.0,4.4085818978959646,3.056195295283307
42,8,"[20, 50, 80, 100, 150, 200]",100.0,100.0,1.5182609192099399,0.9825032185130372
43,8,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.2061959116985075,1.431835547280395
44,8,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.877870995564275,1.9261160172797427
45,8,"[20, 50, 80, 100, 150, 200]",100.0,100.0,2.7063411930886896,1.8078606629797198
46,8,"[20, 50, 80, 100, 150, 200]",100.0,100.0,3.487683824435451,2.67940121414989
47,8,"[20, 50, 80, 100, 150, 200]",100.0,100.0,4.5219680974864636,3.1946562795555447
